0.00 - 0.68 :  So,
0.78 - 0.92 :  what's
0.92 - 1.06 :  up
1.06 - 1.32 :  guys?
1.62 - 1.76 :  It's
1.76 - 1.88 :  your
1.88 - 2.08 :  boy
2.08 - 2.76 :  JaxxMF.
3.50 - 3.60 :  और
3.60 - 3.86 :  अगे
3.86 - 4.12 :  भी
4.12 - 4.50 :  ज़सा
4.50 - 4.64 :  कि
4.64 - 4.76 :  आप
4.76 - 4.94 :  देख
4.94 - 5.24 :  सकते
5.24 - 5.30 :  हो
5.30 - 5.58 :  गाने
5.58 - 5.70 :  का
5.70 - 5.92 :  पुरा
5.92 - 6.08 :  काम
6.08 - 6.40 :  कातम
6.40 - 6.74 :  हुएं.
7.50 - 7.98 :  गाना
7.98 - 8.10 :  आ
8.10 - 8.38 :  आराए,
8.90 - 9.32 :  सुन्टे
9.32 - 9.40 :  को
9.40 - 9.72 :  मुरनिक
9.72 - 9.90 :  नाइ
9.90 - 9.96 :  नहीं
9.96 - 10.14 :  हैं.
10.52 - 10.84 :  बहुत
10.84 - 11.12 :  मैंड़त
11.12 - 11.30 :  लगी
11.30 - 11.54 :  गाने
11.54 - 11.78 :  मैं.
12.30 - 12.50 :  तब
12.50 - 12.72 :  बाक
12.72 - 13.00 :  लैक
13.00 - 13.34 :  करना,
13.42 - 13.56 :  तब
13.56 - 13.84 :  बाके
13.84 - 14.06 :  कमें
14.06 - 14.22 :  कना,
14.28 - 14.40 :  तब
14.40 - 14.62 :  बाके
14.62 - 14.88 :  शियर
14.88 - 15.20 :  करना.
